Datum,Kilometerstand
19.06.2012,0
08.07.2012,147
15.07.2012,197
22.07.2012,248
30.07.2012,296
05.08.2012,361
13.08.2012,400
20.08.2012,417
27.08.2012,474
02.09.2012,595
10.09.2012,636
16.09.2012,683
23.09.2012,736
30.09.2012,778
04.11.2012,937
11.11.2012,980
18.11.2012,1028
25.11.2012,1075
02.12.2012,1125
09.12.2012,1171
16.12.2012,1223
30.12.2012,1301
13.01.2013,1370
03.03.2013,1414
07.04.2013,1615
15.04.2013,1651
21.04.2013,1694
28.04.2013,1745
05.05.2013,1799
12.05.2013,1860
27.05.2013,1993
27.05.2013,2000
03.06.2013,2043
17.06.2013,2215
19.06.2013,2231
24.06.2013,2264
30.06.2013,2329
14.07.2013,2356
21.07.2013,2400
29.07.2013,2432
04.08.2013,2504
12.08.2013,2625
19.08.2013,2669
26.08.2013,2714
02.09.2013,2804
08.09.2013,2874
15.09.2013,2938
22.09.2013,2978
25.09.2013,3000
28.10.2013,3248
03.11.2013,3319
